,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
0,bikesale,de,2022,CUBE,"CUBE Attention SL
29"" 43 cm 2022",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"43 cm, S/M",https://bikesale.de/mountainbikes/mountainbikes-hardtail/cube/attention-sl-43-cm.2022.s/m/17441?c=14,"849,00","1.049,00"
1,bikesale,de,2021,BULLS,"BULLS Copperhead 3
27,5"" 51 cm 2021",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),51 cm,https://bikesale.de/mountainbikes/mountainbikes-hardtail/bulls/copperhead-3-51-cm.2021/17791?c=14,"999,00","1.399,00"
2,bikesale,de,2021,CUBE,"CUBE Nature SL
28"" 54 cm 2021",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"54 cm, M",https://bikesale.de/mountainbikes/mountainbikes-hardtail/cube/nature-sl-m.54-cm.2021/17596?c=14,"1.249,00","1.599,00"
3,bikesale,de,2022,CUBE,"CUBE ACID 29
29"" 47 cm 2022",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"47 cm, L",https://bikesale.de/mountainbikes/mountainbikes-hardtail/cube/acid-29-l.47-cm.2022/18045?c=14,"899,00","1.099,00"
4,bikesale,de,2022,BULLS,"BULLS Copperhead 3
27,5"" 41 cm 2022",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),41 cm,https://bikesale.de/mountainbikes/mountainbikes-hardtail/bulls/copperhead-3-41-cm.2022/18120?c=14,"949,00","1.399,00"
5,bikesale,de,2022,MARIN,"MARIN Rift Zone Carbon 2
29"" 40 cm 2022",neu,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"40 cm, S/M",https://bikesale.de/mountainbikes/mountainbikes-fully/marin/rift-zone-carbon-2-40-cm.2022.s/m/18350?c=14,"2.999,00","4.349,00"
6,bikesale,de,2021,ROCKY MOUNTAIN,"ROCKY MOUNTAIN Instinct C50 Tour
29"" 46 cm 2021",gebraucht und generalüberholt,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),46 cm,https://bikesale.de/mountainbikes/mountainbikes-fully/rocky-mountain/instinct-c50-tour-46-cm.2021/17955?c=14,"3.099,00","4.999,00"
7,bikesale,de,2022,CUBE,"CUBE Stereo 150 C:62 SL
29"" 38 cm 2022",gebraucht und generalüberholt,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"38 cm, S",https://bikesale.de/mountainbikes/mountainbikes-fully/cube/stereo-150-c-62-sl-s.38-cm.2022/18481?c=14,"3.149,00","4.099,00"
8,bikesale,de,2021,SPECIALIZED,"SPECIALIZED Rockhopper Expert 29
29"" 40 cm 2021",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"40 cm, S/M",https://bikesale.de/mountainbikes/mountainbikes-hardtail/specialized/rockhopper-expert-29-40-cm.2021.s/m/17369?c=14,"999,00","1.399,00"
9,bikesale,de,2022,SPECIALIZED,"SPECIALIZED Stumpjumper Alloy
29"" 41 cm 2022",gebraucht und generalüberholt,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"41 cm, S3",https://bikesale.de/mountainbikes/mountainbikes-fully/specialized/stumpjumper-alloy-41-cm.2022.s3/17540?c=14,"2.799,00","4.099,00"
10,bikesale,de,2019,CARVER,"CARVER Cinos 150
28"" 50 cm 2019",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),50 cm,https://bikesale.de/mountainbikes/mountainbikes-hardtail/carver/cinos-150-2019.50-cm/17790?c=14,"899,00","1.049,00"
11,bikesale,de,2021,TREK,"TREK Roscoe 6
27,5"" 41 cm 2021",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),41 cm,https://bikesale.de/mountainbikes/mountainbikes-hardtail/trek/roscoe-6-41-cm.2021/18039?c=14,"849,00","1.099,00"
12,bikesale,de,2022,FOCUS,"FOCUS JAM 6.9 *
29"" 42 cm 2022",neu,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"42 cm, M",https://bikesale.de/mountainbikes/mountainbikes-fully/focus/jam-6.9-m.42-cm.2022/18097?c=14,"2.299,00","3.199,00"
13,bikesale,de,2021,SPECIALIZED,"SPECIALIZED Stump Jumper Comp Alloy
29"" 42 cm 2021",gebraucht und generalüberholt,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"42 cm, S4",https://bikesale.de/mountainbikes/mountainbikes-fully/specialized/stump-jumper-comp-alloy-42-cm.2021.s4/17941?c=14,"2.599,00","3.199,00"
14,bikesale,de,2022,SCOTT,"SCOTT Ransom 930
29"" 47 cm 2022",neu,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"47 cm, L",https://bikesale.de/mountainbikes/mountainbikes-fully/scott/ransom-930-l.47-cm.2022/18450?c=14,"3.349,00","3.999,00"
15,bikesale,de,2020,CUBE,"CUBE Reaction Pro
29"" 47 cm 2020",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),47 cm,https://bikesale.de/mountainbikes/mountainbikes-hardtail/cube/reaction-pro-2020.47-cm/18339?c=14,"899,00","1.199,00"
16,bikesale,de,2021,CUBE,"CUBE Reaction Pro
29"" 56 cm 2021",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),56 cm,https://bikesale.de/mountainbikes/mountainbikes-hardtail/cube/reaction-pro-56-cm.2021/17284?c=14,"949,00","1.299,00"
17,bikesale,de,2022,FOCUS,"FOCUS Whistler 3.7
29"" 42 cm 2022",neu,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"42 cm, M",https://bikesale.de/mountainbikes/mountainbikes-hardtail/focus/whistler-3.7-m.42-cm.2022/17521?c=14,"849,00",
18,bikesale,de,2021,CUBE,"CUBE Access WS C:62 Pro
29"" 41 cm 2021",gebraucht und generalüberholt,MTB Hardtails,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"41 cm, M",https://bikesale.de/mountainbikes/mountainbikes-hardtail/cube/access-ws-c-62-pro-m.41-cm.2021/17803?c=14,"1.299,00","1.749,00"
19,bikesale,de,2021,SCOTT,"SCOTT Genius 960
29"" 52 cm 2021",gebraucht und generalüberholt,MTB Fullys,1, Sofort versandfertig – Lieferzeit 3-10 Werktage (Deutschland),"52 cm, XL",https://bikesale.de/mountainbikes/mountainbikes-fully/scott/genius-960-xl.52-cm.2021/18005?c=14,"1.749,00","2.499,00"
